Date,NepseIndex,Gain,Loss,AverageGain,AverageLoss,RS,RelativeStrengthIndex,12-Day EMA,26-Day EMA,MACD,TrueRange,AverageTrueRange
7/29/2024,2661.09,0,20.47,32.1314922,5.267712234,6.099705294,85.91490832,2483.908447,2343.239359,140.6690877,113.45,68.81845192
7/30/2024,2696.65,35.56,0,32.41720119,4.828736215,6.713392437,87.03553581,2516.637917,2369.417925,147.2199914,35.56,66.04691426
7/31/2024,2760.9,64.25,0,35.06993442,4.42634153,7.923006885,88.79301548,2554.216699,2398.416598,155.8001012,99.81,68.86050474
8/1/2024,2755.62,0,5.28,32.14743989,4.497479736,7.147878762,87.72686696,2585.201822,2424.876109,160.3257132,64.25,68.47629601
8/5/2024,2796.38,40.76,0,32.86515323,4.122689758,7.971774535,88.85393301,2617.690773,2452.394916,165.2958569,40.76,66.16660467
8/6/2024,2651.32,0,145.06,30.12639046,15.86746561,1.898626485,65.50090171,2622.8645,2467.130107,155.7343928,104.3,69.34438762
8/7/2024,2759.67,108.35,0,36.64502459,14.54517681,2.519393546,71.5860137,2643.9115,2488.799729,155.1117711,145.06,75.65402198
8/8/2024,2766.38,6.71,0,34.15043921,13.33307874,2.561331847,71.92061726,2662.752808,2509.36123,153.3915772,115.06,78.93785349
8/11/2024,2860.91,94.53,0,39.18206927,12.22198885,3.205866881,76.22368876,2693.238529,2535.40188,157.8366496,101.24,80.79636569
8/12/2024,2931.65,70.74,0,41.81189683,11.20348978,3.732042218,78.8674751,2729.917217,2564.753593,165.1636247,165.27,87.83583522
8/13/2024,2923.46,0,8.19,38.3275721,10.95236563,3.49947887,77.775204,2759.69303,2591.324438,168.3685925,70.74,86.41118229
8/14/2024,2957.75,34.29,0,37.99110776,10.03966849,3.784099822,79.09742611,2790.163333,2618.467072,171.6962613,34.29,82.06775043
8/15/2024,3000.81,43.06,0,38.41351544,9.203029452,4.174007661,80.67262236,2822.570513,2646.78877,175.7817424,77.35,81.67460456
8/18/2024,2966.33,0,34.48,35.21238916,11.30944366,3.113538579,75.69002987,2844.687357,2670.458491,174.2288659,43.06,78.45672085
8/21/2024,2968.44,2.11,0,32.45385673,10.36699003,3.130499465,75.78985281,2863.726225,2692.531195,171.1950297,34.48,74.79199411
8/22/2024,2974.46,6.02,0,30.25103533,9.50307419,3.183289399,76.09536648,2880.76219,2713.41481,167.3473799,8.13,69.23682793
8/25/2024,2894.57,0,79.89,27.73011572,15.36865134,1.804329808,64.34085616,2882.886469,2726.833713,156.0527554,73.87,69.62292561
8/27/2024,2782.6,0,111.97,25.41927274,23.41876373,1.08542334,52.04810549,2867.457781,2730.964549,136.4932319,191.86,79.80934847
8/28/2024,2786.4,3.8,0,23.61766668,21.46720009,1.100174526,52.38490956,2854.987353,2735.070879,119.9164743,111.97,82.48940277
8/29/2024,2749.57,0,36.83,21.64952779,22.74743342,0.951734967,48.76353517,2838.769299,2736.144888,102.6244107,33.03,78.36778587
