Time,NepseIndex
1997-07-20,173.26
1997-07-21,173.25
1997-07-22,173.03
1997-07-23,173.03
1997-07-24,172.66
1997-07-27,173.15
1997-07-29,172.88
1997-07-30,172.12
1997-07-31,171.7
1997-08-03,171.52
1997-08-04,171.36
1997-08-05,171.16
1997-08-06,171.1
1997-08-07,171.24
1997-08-10,170.39
1997-08-11,169.38
1997-08-12,169.28
1997-08-13,169.28
1997-08-14,169.52
1997-08-17,169.57
1997-08-20,169.76
1997-08-21,169.57
1997-08-24,169.91
1997-08-26,169.57
1997-08-27,169.87
1997-08-28,169.98
1997-08-31,169.64
1997-09-01,170.13
1997-09-02,170.2
1997-09-03,168.74
1997-09-04,168.63
1997-09-07,168.49
1997-09-08,168.84
1997-09-09,169.18
1997-09-10,169.17
1997-09-11,169.99
1997-09-14,170.1
1997-09-16,170.45
1997-09-17,170.6
1997-09-18,169.67
1997-09-21,170.31
1997-09-22,170.06
1997-09-23,170.43
1997-09-24,169.96
1997-09-25,169.97
1997-09-28,170.71
1997-09-29,170.64
1997-09-30,171.23
1997-10-01,170.2
1997-10-05,169.8
1997-10-06,169.7
1997-10-07,169.68
1997-10-16,169.43
1997-10-19,169.51
1997-10-20,169.55
1997-10-21,169.29
1997-10-22,170.33
1997-10-23,171.04
1997-10-26,170.61
1997-10-27,172.96
1997-10-28,172
1997-10-29,173.43
1997-11-03,173.44
1997-11-04,172.68
1997-11-05,173.03
1997-11-06,172.07
1997-11-09,173.02
1997-11-10,172.46
1997-11-11,172.08
1997-11-12,171.96
1997-11-13,172.02
1997-11-16,172.02
1997-11-17,172.8
1997-11-18,172.68
1997-11-19,172.35
1997-11-20,173.01
1997-11-23,173.28
1997-11-24,173.1
1997-11-25,173.28
1997-11-26,172.39
1997-11-27,172.14
1997-11-30,171.64
1997-12-01,171.77
1997-12-02,171.19
1997-12-03,170.08
1997-12-04,170.22
1997-12-07,170.68
1997-12-08,170.54
1997-12-09,170.24
1997-12-10,171.14
1997-12-11,171.19
1997-12-14,170.56
1997-12-15,170.16
1997-12-16,170.11
1997-12-17,170.9
1997-12-18,171.7
1997-12-21,170.83
1997-12-22,170.57
1997-12-23,170.52
1997-12-24,170.94
1997-12-25,170.74
1997-12-28,170.83
1997-12-30,170.7
1997-12-31,170.93
1998-01-04,170.21
1998-01-05,170.23
1998-01-06,170.39
1998-01-07,170.32
1998-01-08,170.69
1998-01-12,170.73
1998-01-13,170.6
1998-02-15,176.6
1998-02-16,176.62
1998-02-17,176.11
1998-02-18,176.12
1998-02-22,176.5
1998-02-23,176.57
1998-02-26,178.68
1998-03-01,177.58
1998-03-02,177.86
1998-03-03,178.04
1998-03-04,178.56
1998-03-05,179.42
1998-03-08,180.31
1998-03-09,180.29
1998-03-10,180.22
1998-03-11,180.36
1998-03-15,180.84
1998-03-16,169.71
1998-03-17,168.91
1998-03-18,169.49
1998-03-19,170.23
1998-03-22,165.87
1998-03-23,166.06
1998-03-24,166.34
1998-03-25,166.62
1998-03-26,167.4
1998-03-29,167.83
1998-03-30,167.06
1998-03-31,166.62
1998-04-01,166.37
1998-04-02,165.87
1998-04-06,166.47
1998-04-07,166.64
1998-04-08,166.06
1998-04-09,165.82
1998-04-12,159.38
1998-04-13,158.86
1998-05-14,157.97
1998-05-17,158.01
1998-05-18,157.69
1998-05-19,157.57
1998-05-20,157.29
1998-05-21,157.57
1998-05-24,157.68
1998-05-25,156.84
1998-05-26,157.05
1998-05-27,157.56
1998-05-28,156.86
1998-06-01,156.86
1998-06-02,156.43
1998-06-03,156.91
1998-06-04,156.77
1998-06-07,156.78
1998-06-08,158.05
1998-06-09,158.32
1998-06-10,159.56
1998-06-11,160.16
1998-06-14,159.95
1998-06-15,160.23
1998-06-16,160.38
1998-06-17,161.13
1998-06-18,160.72
1998-06-21,161.02
1998-06-22,161.34
1998-06-23,163.01
1998-06-24,164.07
1998-06-25,164.68
1998-06-28,165.92
1998-06-29,165.65
1998-06-30,165.87
1998-07-01,166.03
1998-07-02,166.05
1998-07-05,165.41
1998-07-06,164.33
1998-07-07,163.73
1998-07-08,163.44
1998-07-09,162.59
1998-07-13,162.49
1998-07-14,162.85
1998-07-15,163.77
1998-07-16,163.35
1998-07-19,164.01
1998-07-20,164.04
1998-07-21,162.41
1998-07-22,161.57
1998-07-23,161.52
1998-07-26,160.14
1998-07-27,160.96
1998-07-28,161.21
1998-07-29,160.97
1998-07-30,161.29
1998-08-02,161.85
1998-08-03,162.07
1998-08-04,162.16
1998-08-05,162.37
1998-08-06,163.76
1998-08-10,164.25
1998-08-11,164.77
1998-08-12,165.43
1998-08-13,166.02
1998-08-17,166.28
1998-08-18,165.75
1998-08-19,166.47
1998-08-20,166.08
1998-08-23,166.83
1998-08-24,166.19
1998-08-25,166.82
1998-08-26,166.66
1998-08-27,166.21
1998-08-30,166.59
1998-08-31,166.54
1998-09-01,166.56
1998-09-02,166.17
1998-09-03,166.36
1998-09-06,166.37
1998-09-07,166.21
1998-09-08,167.3
1998-09-09,167.49
1998-09-10,167.74
1998-09-13,168.06
1998-09-14,168.21
1998-09-15,168.51
1998-09-16,168.42
1998-09-17,168.53
1998-09-20,169.01
1998-09-22,168.18
1998-09-23,168.28
1998-09-24,166.72
1998-09-27,166.22
1998-10-06,165.75
1998-10-07,167.35
1998-10-08,167.48
1998-10-11,167.95
1998-10-12,167.95
1998-10-13,168.42
1998-10-14,168.69
1998-10-15,168.75
1998-10-18,169.61
1998-10-25,170.07
1998-10-26,169.71
1998-10-27,170.6
1998-10-28,171.39
1998-10-29,172
1998-11-01,172.41
1998-11-03,174.98
1998-11-04,176.81
1998-11-05,179.29
1998-11-08,182.06
1998-11-10,181.67
1998-11-11,183.58
1998-11-12,183.77
1998-11-15,183.78
1998-11-16,184.17
1998-11-17,183.61
1998-11-18,185.56
1998-11-19,187.3
1998-11-22,188.34
1998-11-23,189.46
1998-11-24,190.74
1998-11-25,190.75
1998-11-26,192.9
1998-11-29,193.45
1998-11-30,192.93
1998-12-01,192.66
1998-12-02,192.85
1998-12-03,190.55
1998-12-06,190.47
1998-12-07,190.52
1998-12-08,190.68
1998-12-09,190.47
1998-12-13,188.87
1998-12-14,187.67
1998-12-15,187.16
1998-12-16,187.45
1998-12-17,187.55
1998-12-20,187.82
1998-12-21,188.35
1998-12-22,188.41
1998-12-23,188.85
1998-12-24,188.44
1998-12-27,189.72
1998-12-28,189.57
1998-12-30,174.97
1998-12-31,175.46
1999-01-03,176.49
1999-01-04,176.74
1999-01-05,177.78
1999-01-06,178.8
1999-01-07,179.22
1999-01-10,180.8
1999-01-12,181.35
1999-01-13,181.7
1999-01-14,181.67
1999-01-17,181.05
1999-01-18,181.23
1999-01-19,181.68
1999-01-20,182.31
1999-01-21,182.68
1999-01-25,182.89
1999-01-26,181.76
1999-01-27,180.59
1999-01-28,180.03
1999-01-31,179.6
1999-02-01,179.16
1999-02-02,178.61
1999-02-03,178.46
1999-02-04,179.1
1999-02-07,179.36
1999-02-08,178.66
1999-02-10,177.61
1999-02-11,178.48
1999-02-15,179.38
1999-02-16,178.94
1999-02-17,179.38
1999-02-18,178.94
1999-02-21,179.89
1999-02-22,179.65
1999-02-23,180.03
1999-02-24,179.88
1999-02-25,179.18
1999-02-28,178.94
1999-03-02,178.81
1999-03-03,178.17
1999-03-04,177.83
1999-03-07,178.34
1999-03-08,178.3
1999-03-09,178.37
1999-03-10,179.02
1999-03-11,179.36
1999-03-14,180.17
1999-03-15,181.4
1999-03-16,182.4
1999-03-18,184.24
1999-03-21,183.96
1999-03-22,184.49
1999-03-23,184.27
1999-03-24,185.07
1999-03-28,184.58
1999-03-29,185.55
1999-03-30,186.76
1999-03-31,187.37
1999-04-01,183.3
1999-04-04,184.97
1999-04-05,185.64
1999-04-06,186.04
1999-04-07,186.8
1999-04-08,186.05
1999-04-11,186.74
1999-04-12,188.1
1999-04-13,188.38
1999-04-15,189.01
1999-04-18,190.88
1999-04-19,192.59
1999-04-20,193.55
1999-04-21,194.07
1999-04-22,192.6
1999-04-25,191.83
1999-04-26,192.88
1999-04-28,192.17
1999-04-29,191.82
1999-05-02,193.27
1999-05-04,194.07
1999-05-05,195.53
1999-05-06,196.07
1999-05-09,196.1
1999-05-10,195.9
1999-05-11,195.65
1999-05-12,196.95
1999-05-13,196.98
1999-05-17,198.36
1999-05-18,197.72
1999-05-19,198.58
1999-05-20,199.7
1999-05-23,200.36
1999-05-24,200.88
1999-05-25,201.52
1999-05-26,203.2
1999-05-27,205.32
1999-05-30,206.18
1999-05-31,207.77
1999-06-01,208.3
1999-06-02,209.14
1999-06-03,210
1999-06-06,210.96
1999-06-07,211.94
1999-06-09,211.85
1999-06-10,212.3
1999-06-13,212.51
1999-06-14,212.39
1999-06-15,212.14
1999-06-16,214.14
1999-06-17,217.99
1999-06-20,223.3
1999-06-21,226.19
1999-06-22,229.08
1999-06-23,232.64
1999-06-24,233.13
1999-06-27,231.32
1999-06-28,227.37
1999-06-29,220.78
1999-06-30,215.15
1999-07-01,212.15
1999-07-04,212.54
1999-07-05,212.93
1999-07-06,213.2
1999-07-07,211.95
1999-07-08,212.16
1999-07-11,212.72
1999-07-12,213.72
1999-07-13,213.17
1999-07-14,216.23
1999-07-15,216.92
1999-07-18,218.32
1999-07-19,220.03
1999-07-20,221.92
1999-07-21,225.06
1999-07-22,226.15
1999-07-25,228.41
1999-07-26,228.34
1999-07-27,227.27
1999-07-28,226.31
1999-07-29,226.31
1999-08-01,223.09
1999-08-02,224.79
1999-08-03,225.26
1999-08-04,225.57
1999-08-05,226.2
1999-08-09,227.41
1999-08-10,227.26
1999-08-12,227.1
1999-08-15,227.62
1999-08-16,227.79
1999-08-17,228.19
1999-08-18,228.19
1999-08-19,229.12
1999-08-22,228.17
1999-08-23,228.4
1999-08-24,228.93
1999-08-25,228.94
1999-08-30,229.33
1999-08-31,229.62
1999-09-01,230.41
1999-09-03,230.99
1999-09-06,231.39
1999-09-07,232.01
1999-09-08,231.62
1999-09-09,231.08
1999-09-10,232.4
1999-09-13,233.39
1999-09-14,234.73
1999-09-15,236.45
1999-09-16,237.5
1999-09-17,239.35
1999-09-20,238.55
1999-09-21,239.95
1999-09-22,241.09
1999-09-23,242.72
1999-09-27,243.18
1999-09-28,244.5
1999-09-29,245.75
1999-09-30,245.75
1999-10-01,247.45
1999-10-04,246.09
1999-10-05,246.02
1999-10-06,245.32
1999-10-07,243.64
1999-10-08,244.87
1999-10-11,244.87
1999-10-12,245.64
1999-10-13,246.2
1999-10-14,244.16
1999-10-15,245.41
1999-10-25,246.65
1999-10-26,245.85
1999-10-27,247.61
1999-10-28,248.35
1999-10-29,249.72
1999-11-01,251.27
1999-11-02,253.93
1999-11-03,255.01
1999-11-04,254.05
1999-11-05,255.44
1999-11-11,255.64
1999-11-12,255.44
1999-11-15,255.02
1999-11-16,254.58
1999-11-17,256.15
1999-11-18,256.88
1999-11-19,257.55
1999-11-22,259.97
1999-11-23,259.18
1999-11-24,259.06
1999-11-25,260.74
1999-11-26,261.38
1999-11-29,260.89
1999-11-30,260.56
1999-12-01,257.99
1999-12-02,257.1
1999-12-03,257.91
1999-12-06,257.24
1999-12-07,256.09
1999-12-08,255.94
1999-12-09,255.53
1999-12-10,255.49
1999-12-13,252.07
1999-12-14,253.19
1999-12-15,254.3
1999-12-16,256.4
1999-12-17,256.9
1999-12-20,257.74
1999-12-21,258.58
1999-12-22,259.71
1999-12-23,260.23
1999-12-24,259.46
1999-12-27,260.61
1999-12-28,261.21
1999-12-30,261.82
1999-12-31,262.52
2000-01-03,262.5
2000-01-04,262.94
2000-01-05,264.52
2000-01-06,265.76
2000-01-07,267.88
2000-01-10,268.65
2000-01-13,269.92
2000-01-14,269.88
2000-01-17,272.55
2000-01-18,273.94
2000-01-19,276.67
2000-01-20,276.95
2000-01-21,278.33
2000-01-24,276.49
2000-01-25,275.78
2000-01-26,276.39
2000-01-27,277.16
2000-01-28,273.76
2000-01-31,275.78
2000-02-01,276.15
2000-02-02,277.21
2000-02-03,278.16
2000-02-04,278.96
2000-02-07,278.74
2000-02-08,282.37
2000-02-09,294.36
2000-02-11,285.3
2000-02-14,288.53
2000-02-15,301.88
2000-02-16,291.77
2000-02-17,295.06
2000-02-18,296.35
2000-02-21,296.43
2000-02-22,297.62
2000-02-23,311.42
2000-02-24,303.61
2000-02-25,304.55
2000-02-28,306.79
2000-02-29,308.19
2000-03-01,312.56
2000-03-02,315.97
2000-03-03,335.07
2000-03-06,323.78
2000-03-07,327.01
2000-03-08,327.3
2000-03-09,329.81
2000-03-10,330.9
2000-03-13,329.2
2000-03-14,328.15
2000-03-15,326.7
2000-03-16,324.95
2000-03-17,318.93
2000-03-20,318.54
2000-03-21,316.53
2000-03-22,316.33
2000-03-23,318.31
2000-03-24,321.67
2000-03-27,325.14
2000-03-28,326.8
2000-03-29,326.78
2000-03-30,328.75
2000-03-31,330.06
2000-04-03,328.36
2000-04-05,332.2
2000-04-06,346.78
2000-04-07,331.88
2000-04-10,332.93
2000-04-11,331.76
2000-04-14,333.61
2000-04-17,333.4
2000-04-18,338.41
2000-04-19,341.58
2000-04-20,346.67
2000-04-21,349.71
2000-04-24,354.37
