Time,NepseIndex,Change,Gain,Loss,AverageGain,AverageLoss,RS,RSI,12_Day_EMA,26_Day_EMA,MACD,TrueRange,ATR
1997-07-20,173.26,,0.0,0.0,,,,,172.43,171.06,1.37,,0.25
1997-07-21,173.25,-0.01,0.0,0.01,,,,,172.43,171.06,1.37,0.01,0.25
1997-07-22,173.03,-0.22,0.0,0.22,,,,,172.43,171.06,1.37,0.22,0.25
1997-07-23,173.03,0.0,0.0,0.0,,,,,172.43,171.06,1.37,0.0,0.25
1997-07-24,172.66,-0.37,0.0,0.37,,,,,172.43,171.06,1.37,0.37,0.25
1997-07-27,173.15,0.49,0.49,0.0,,,,,172.43,171.06,1.37,0.49,0.25
1997-07-29,172.88,-0.27,0.0,0.27,,,,,172.43,171.06,1.37,0.27,0.25
1997-07-30,172.12,-0.76,0.0,0.76,,,,,172.43,171.06,1.37,0.76,0.25
1997-07-31,171.7,-0.42,0.0,0.42,,,,,172.43,171.06,1.37,0.42,0.25
1997-08-03,171.52,-0.18,0.0,0.18,,,,,172.43,171.06,1.37,0.18,0.25
1997-08-04,171.36,-0.16,0.0,0.16,,,,,172.43,171.06,1.37,0.16,0.25
1997-08-05,171.16,-0.2,0.0,0.2,,,,,172.43,171.06,1.37,0.2,0.25
1997-08-06,171.1,-0.06,0.0,0.06,,,,,172.22,171.06,1.16,0.06,0.25
1997-08-07,171.24,0.14,0.14,0.0,0.05,0.19,0.24,19.21,172.07,171.06,1.01,0.14,0.25
1997-08-10,170.39,-0.85,0.0,0.85,0.05,0.25,0.18,15.25,171.81,171.06,0.75,0.85,0.3
1997-08-11,169.38,-1.01,0.0,1.01,0.04,0.3,0.14,12.07,171.44,171.06,0.38,1.01,0.35
1997-08-12,169.28,-0.1,0.0,0.1,0.04,0.29,0.13,11.81,171.11,171.06,0.05,0.1,0.33
1997-08-13,169.28,0.0,0.0,0.0,0.04,0.27,0.13,11.81,170.83,171.06,-0.23,0.0,0.31
1997-08-14,169.52,0.24,0.24,0.0,0.05,0.25,0.2,16.84,170.62,171.06,-0.43,0.24,0.3
1997-08-17,169.57,0.05,0.05,0.0,0.05,0.23,0.22,17.9,170.46,171.06,-0.6,0.05,0.28
1997-08-20,169.76,0.19,0.19,0.0,0.06,0.22,0.28,21.93,170.35,171.06,-0.7,0.19,0.28
1997-08-21,169.57,-0.19,0.0,0.19,0.06,0.21,0.26,20.83,170.23,171.06,-0.83,0.19,0.27
1997-08-24,169.91,0.34,0.34,0.0,0.08,0.2,0.39,27.83,170.18,171.06,-0.88,0.34,0.27
1997-08-26,169.57,-0.34,0.0,0.34,0.07,0.21,0.34,25.41,170.09,171.06,-0.97,0.34,0.28
1997-08-27,169.87,0.3,0.3,0.0,0.09,0.19,0.45,31.1,170.06,171.06,-1.0,0.3,0.28
1997-08-28,169.98,0.11,0.11,0.0,0.09,0.18,0.5,33.11,170.04,171.06,-1.02,0.11,0.27
1997-08-31,169.64,-0.34,0.0,0.34,0.08,0.19,0.43,30.18,169.98,170.95,-0.97,0.34,0.27
1997-09-01,170.13,0.49,0.49,0.0,0.11,0.18,0.63,38.63,170.0,170.89,-0.89,0.49,0.29
